Ano,RA,Nome,Fase,Fase_Num,Fase_Ideal,Turma,Idade,Gênero,Ano ingresso,Instituicao_Ensino,Pedra_Atual,INDE,IAA,IEG,IPS,IPP,IDA,Matematica,Portugues,Ingles,IPV,IAN,Defasagem,Pendente_Inclusao
2024,RA-1633,Aluno-1633,8B,8.0,Fase 8 (Universitários),8B,21,Masculino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1248,Aluno-1248,8B,8.0,Fase 8 (Universitários),8B,21,Masculino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1246,Aluno-1246,8B,8.0,Fase 8 (Universitários),8B,21,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1245,Aluno-1245,8B,8.0,Fase 8 (Universitários),8B,21,Masculino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1244,Aluno-1244,8B,8.0,Fase 8 (Universitários),8B,21,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1634,Aluno-1634,8B,8.0,Fase 8 (Universitários),8B,21,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1242,Aluno-1242,8B,8.0,Fase 8 (Universitários),8B,20,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1250,Aluno-1250,8B,8.0,Fase 8 (Universitários),8B,21,Masculino,2021,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1241,Aluno-1241,8B,8.0,Fase 8 (Universitários),8B,21,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1240,Aluno-1240,8B,8.0,Fase 8 (Universitários),8B,21,Masculino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1249,Aluno-1249,8B,8.0,Fase 8 (Universitários),8B,27,Masculino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1239,Aluno-1239,8B,8.0,Fase 8 (Universitários),8B,21,Feminino,2021,Privada - Pagamento por *Empresa Parceira,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1251,Aluno-1251,8B,8.0,Fase 8 (Universitários),8B,21,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
2024,RA-1264,Aluno-1264,8D,8.0,Fase 8 (Universitários),8D,21,Feminino,2021,Privada,,,,0.0,,,,,,,,10.0,0,False
